name,address,date,score
Peggy's Healthy Home Cooking,326 S. Cleveland  Memphis. TN 38104,September 15. 2020,84
First Class Montessori Food Svc,1336 Peabody  Memphis. TN 38104,September 15. 2020,100
Spring Hill School,3796 Raleigh-Frayser RD  Memphis. TN 38128,September 15. 2020,99
Shelby Oaks Elementary,6053 Summer  Memphis. TN 38134,September 15. 2020,100
LAS BRASAS,3582 KIRBY PARKWAY  Memphis. TN 38115,September 15. 2020,98
Waffle House #2258,7125 Winchester Rd  Memphis. TN 38125,September 15. 2020,99
Riverwood Elementary,1330 Stern Ln.  Cordova. TN 38016,September 15. 2020,99
La Petite Academy,330 Walnut Bend  Cordova. TN 38018,September 15. 2020,100
New Lin Garden - Restaurant,215 S. Pauline St.  Memphis. TN 38104,September 15. 2020,99
Brownsville Elem School,5292 Banbury  Memphis. TN 38134,September 15. 2020,100
Lenny's Sub Shop,80 N. Pauline St.  Memphis. TN 38105,September 15. 2020,99
RED LOBSTER # 6216 - FD-SRV.,8161 HWY 64  Memphis. TN 38133,September 14. 2020,93
SUBWAY # 54593 - FD-SRV.,201 POPLAR  Memphis. TN 38103,September 14. 2020,97
Half Shell. The,7825 Winchester. Suite 122  Memphis. TN 38125,September 14. 2020,96
Best Wings Of Memphis,3995 Elvis Presley Blvd.  Memphis. TN 38116,September 14. 2020,97
Popeye's Louisiana Kitchen. Inc. #4690,4624 Elvis Presley Blvd  Memphis. TN 38116,September 14. 2020,96
CEDARS RESTAURANT,694 N. Germantown PKWY Suite 64  Cordova. TN 38018,September 14. 2020,94
PARKER'S WATER ICE - FD-SRV.,7825 WINCHESTER  Memphis. TN 38125,September 14. 2020,99
Germantown Center Concession,1801 Exeter  Germantown. TN 38138,September 14. 2020,99
Jack Pirtles,4349 Elvis Presley Blvd.  Memphis. TN 38116,September 14. 2020,95
RED LOBSTER - BAR,8161 HWY 64  Memphis. TN 38133,September 14. 2020,98
Germantown Center Concession,1801 Exeter  Germantown. TN 38138,September 14. 2020,99
Dyers Hamburgers Of Collierville,101 N. Center St.  Collierville. TN 38017,September 14. 2020,99
Criminal Justice/ Main Kitchen,201 Poplar Ave.  Memphis. TN 38103,September 14. 2020,100
Southwind Fish,7915 Winchester. STE 101  Memphis. TN 38125-2362,September 14. 2020,98
Starbucks #8450,7945 Winchester. STE 103  Memphis. TN 38125,September 14. 2020,96
Dorothy's Place Food Service,3185 Hickory Hill Rd.  Memphis. TN 38115,September 14. 2020,100
GUESTHOUSE AT GRACELAND EP'S SPORTSBAR,3600 ELVIS PRESLEY  Memphis. TN 38116,September 14. 2020,97
